,name,struct,addr,lat,lon
16551,"Муниципальное общеобразовательное учреждение "" Специальная (коррекционная) начальная школа-детский сад № 235",(Муниципальное образовательное учреждение),"654044, Кемеровская область, г. Новокузнецк, ул. Новоселов 14а",53.89191,87.1204
16553,"Муниципальное общеобразовательное учреждение "" Специальная (коррекционная) специальная школа интернат № 80",(Муниципальное образовательное учреждение),"654000, Кемеровская область, г. Новокузнецк, ул. Курако, 9",53.74954,87.11366
24634,Муниципальное общеобразовательное учреждение Средняя общеобразовательная школа № 91,(Муниципальное образовательное учреждение),"654041, Кемеровская область, г. Новокузнецк, ул. Транспортная, 29",53.74584,87.12456
24636,"Муниципальное общеобразовательное учреждение ""Специальная (коррекционная) общеобразовательная школа-интернат № 68""",(Муниципальное образовательное учреждение),"654034, Кемеровская область, г. Новокузнецк, ул. Левитана, 1",53.79304,87.23308
24637,"Муниципальное общеобразовательное учреждение ""Специальная (коррекционная) общеобразовательная школа-интернат № 88""",(Муниципальное образовательное учреждение),"654034, Кемеровская область, г. Новокузнецк, ул. Анодная, 7а",53.7906,87.2234
24639,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 64""",(Муниципальное образовательное учреждение),"650086, Кемеровская область, г. Новокузнецк, ул.Радищева, 24",53.79268,87.33785
24640,"Муниципальное общеобразовательное учреждение ""Основная общеобразовательная школа № 83""",(Муниципальное образовательное учреждение),"654013, Кемеровская область, г. Новокузнецк, ул. Климасенко, 5",53.84324,87.18803
24641,"Муниципальное общеобразовательное учреждение ""Открытая/сменная/ общеобразовательная школа № 64""",(Муниципальное образовательное учреждение),"654002, Кемеровская область, г. Новокузнецк, пер.Ульяновский, 12",53.78247,87.31504
24642,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 100""",(Муниципальное образовательное учреждение),"654032, Кемеровская область, г. Новокузнецк, ул.Бардина, 34",53.75479,87.13318
24668,"Муниципальное общеобразовательное учреждение ""Центр лечебной педагогики и дифференцированного обучения""",(Муниципальное образовательное учреждение),"654034, Кемеровская область, г. Новокузнецк, ул. Бугарева, 22б",53.77886,87.21454
24671,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 12""",(Муниципальное образовательное учреждение),"654027, Кемеровская область, г. Новокузнецк, пр. Пионерский, 15",53.76104,87.11643
24672,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 56""",(Муниципальное образовательное учреждение),"6540084, Кемеровская область, г. Новокузнецк, ул.Новобайдаевская, 9",53.78446,87.28768
24673,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 71""",(Муниципальное образовательное учреждение),"654034, Кемеровская область, г. Новокузнецк, ул.Бугарева, 17",53.77888,87.21317
24674,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 96""",(Муниципальное образовательное учреждение),"654032, Кемеровская область, г. Новокузнецк, ул.Обнорского, 62",53.77311,87.20788
24677,"Муниципальное общеобразовательное учреждение ""Естественнонаучный лицей № 104""",(Муниципальное образовательное учреждение),"654034, Кемеровская область, г. Новокузнецк, ул.Ленина, 61",53.77891,87.20704
24678,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 4""",(Муниципальное образовательное учреждение),"654032, Кемеровская область, г. Новокузнецк, ул.Обнорского, 92",53.77504,87.21423
24679,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 24""",(Муниципальное образовательное учреждение),"654034, Кемеровская область, г. Новокузнецк, ул.Ленина, 119",53.78511,87.2222
24680,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 19""",(Муниципальное образовательное учреждение),"650033, Кемеровская область, г. Новокузнецк, ул. Крупской, 35",53.79378,87.28106
24681,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 29""",(Муниципальное образовательное учреждение),"654002, Кемеровская область, г. Новокузнецк, ул. Разведчиков, 46",53.78569,87.31721
24717,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 41""",(Муниципальное образовательное учреждение),"654000, Кемеровская область, г. Новокузнецк, ул. Кутузова, 4",53.75131,87.11512
24720,"Муниципальное образовательное учреждение ""Специальная общеобразовательная школа № 30""",(Муниципальное образовательное учреждение),"654015, Кемеровская область, г. Новокузнецк, ул.Смирнова, 1",53.77461,87.20434
24721,"Муниципальное общеобразовательное учреждение ""Специальная общеобразовательная школа-интернат 8 вида № 53""",(Муниципальное образовательное учреждение),"654002, Кемеровская область, г. Новокузнецк, ул. Разведчиков, 1",53.7815021,87.3064195
24722,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 40""",(Муниципальное образовательное учреждение),"654032, Кемеровская область, г. Новокузнецк, ул.Пестеля, 27",53.76043,87.21362
24723,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 60""",(Муниципальное образовательное учреждение),"654025, Кемеровская область, г. Новокузнецк, ул.Дузенко, 14 А",53.79544,87.34546
24724,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 50""",(Муниципальное образовательное учреждение),"654034, Кемеровская область, г. Новокузнецк, ул.Шункова, 26",53.77559,87.19486
24729,"Муниципальное общеобразовательное учреждение ""Гимназия № 10""",(Муниципальное образовательное учреждение),"654034, Кемеровская область, г. Новокузнецк, ул.Шункова, 6А",53.77168,87.18742
24730,"Муниципальное общеобразовательное учреждение ""Лицей № 27""",(Муниципальное образовательное учреждение),"654084, Кемеровская область, г. Новокузнецк, ул. 40 лет Победы, 9",53.77736,87.28739
24741,"Муниципальное общеобразовательное учреждение ""Лицей № 76""",(Муниципальное образовательное учреждение),"654084, Кемеровская область, г. Новокузнецк, ул. 40 лет Победы, 17",53.77732,87.29016
24776,"Муниципальное общеобразовательное учреждение ""Вечерняя (сменная) общеобразовательная школа № 2""",(Муниципальное образовательное учреждение),"654044, Кемеровская область, Кемеровской область , г. Новокузнецк, ул. Олимпийская 18-а.",53.89144,87.11024
24777,"Муниципальное общеобразовательное учреждение детский дом-школа № 95 ""Дом детства""",(Муниципальное образовательное учреждение),"654040, Кемеровская область, Кемеровской область, г. Новокузнецк, ул.Климасенко 15-а.",53.83945,87.17364
24779,"Муниципальное общеобразовательное учреждение ""Женская гимназия-интернат""",(Муниципальное образовательное учреждение),"654059, Кемеровская область, г. Новокузнецк, ул.Тореза 117-а.",53.81726,87.15874
24782,"Муниципальное общеобразовательное учреждение ""Эстетическая гимназия № 32""",(Муниципальное образовательное учреждение),"654054, Кемеровская область, г. Новокузнецк, ул.Новоселов 53.",53.89814,87.13637
24785,"Муниципальное общеобразовательное учреждение ""Гимназия № 59""",(Муниципальное образовательное учреждение),"654054, Кемеровская область, г. Новокузнецк, ул.Косыгина 73.",53.89457,87.1357
24788,"Муниципальное общеобразовательное учреждение ""Лицей № 35""",(Муниципальное образовательное учреждение),"654059, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. 40 лет ВЛКСМ 98-а.",53.82326,87.16633
24789,"Муниципальное общеобразовательное учреждение ""Основная общеобразовательная школа № 33""",(Муниципальное образовательное учреждение),"654038, Кемеровская область, Кемеровской область, г. Новокузнецк, проезд Ижевский 15.",53.83414,87.1911
24791,"Муниципальное общеобразовательное учреждение ""Основная общеобразовательная школа № 89""",(Муниципальное образовательное учреждение),"654055, Кемеровская область, Кемеровской область , г. Новокузнецк, ул. Ладожская 110.",53.79917,87.14906
24792,"Муниципальное общеобразовательное учреждение ""Вечерняя (сменная) общеобразовательная школа № 17""",(Муниципальное образовательное учреждение),"654038, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. Климасенко 22/2.",53.83636,87.17281
24804,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 14""",(Муниципальное образовательное учреждение),"654054, Кемеровская область, Кемеровской область, г. Новокузнецк, пр. Авиаторов 106.",53.89861,87.13395
24807,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 65""",(Муниципальное образовательное учреждение),"654054, Кемеровская область, Кемеровской область, г. Новокузнецк, ул.Косыгина 63.",53.89429,87.1323
24809,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 94""",(Муниципальное образовательное учреждение),"654011, Кемеровская область, Кемеровской область, г. Новокузнецк, пр. Авиаторов 74.",53.89777,87.12042
24813,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 107""",(Муниципальное образовательное учреждение),"654011, Кемеровская область, Кемеровской область, г. Новокузнецк, пр. Авиаторов 47.",53.90059,87.12233
24867,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 5""",(Муниципальное образовательное учреждение),"654059, Кемеровская область, Кемеровской область, г. Новокузнецк, ул.Клименко 7-а.",53.82754,87.16089
24868,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 79""",(Муниципальное образовательное учреждение),"654059, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. 40 лет ВЛКСМ 112.",53.81812,87.16311
24870,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 81""",(Муниципальное образовательное учреждение),"654031, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. Горьковская 17.",53.83096,87.18917
24872,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 93""",(Муниципальное образовательное учреждение),"654038, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. Тореза 11.",53.83505,87.17919
24874,"Муниципальное общеобразовательное учреждение ""Санаторная школа-интернат № 82""",(Муниципальное образовательное учреждение),"654031, Кемеровская область, Кемеровской область, г. Новокузнецк, ул.Горьковская 33.",53.82514,87.18236
24875,"Муниципальное общеобразовательное учреждение ""Специальная (коррекционная) общеобразовательная школа № 58"" VIII вида",(Муниципальное образовательное учреждение),"654031, Кемеровская область, Кемеровской область, г. Новокузнецк, ул.Горьковская 15.",53.83153,87.18738
24892,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 102""",(Муниципальное образовательное учреждение),"654040, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. Климасенко 12/3.",53.83728,87.17585
